state,candidate,party,votes,percent,source
Kwara,Popoola Kehinde Adeyemi,National Rescue Movement (NRM),74.0,0.02,results_table
Kwara,Paul Ajiroba,People's Party of Nigeria (PPN),67.0,0.01,results_table
Kwara,Soladoye Samuel Sunday,Unity Party of Nigeria (UPN),61.0,0.01,results_table
Kwara,Yahaya Kale Saádu,Mass Action Joint Alliance (MAJA),57.0,0.01,results_table
Kwara,Rukayat Toyin Tijani,Mega Party of Nigeria (MPN),53.0,0.01,results_table
Kwara,Alabi Morankinyo,Kowa Party (KP),48.0,0.01,results_table
Kwara,Issa Aremu Obalowu[73],Labour Party (LP),45.0,0.01,results_table
Kwara,Adekunle Kehinde,Change Advocacy Party (CAP),40.0,0.01,results_table
Kwara,Oyabambi Adetunji,United Democratic Party (UDP),40.0,0.01,results_table
Kwara,Babatunde Omotosho Tayo,Better Nigeria Progressive Party (BNPP),34.0,0.01,results_table
Kwara,Abdullahi Mohammed,Democratic Alternative (DA),28.0,0.01,results_table
Kwara,Comfort Yinka Kayode,United Progressive Party (UPP),24.0,0.01,results_table
Kwara,Omotosho Bamidele Olaitan,Green Party of Nigeria (GPN),21.0,0.0,results_table
Kwara,Oshin Bayo David Alaba,We The People Nigeria (WTPN),15.0,0.0,results_table
Kwara,35 Bada Abullahi Yekini,Young Democratic Party (YDP),14.0,0.0,results_table
Lagos,Babajide Sanwoolu,APC,739445.0,76.65,results_table
